"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"27",7,NA,NA,15,4,4,32,14,10,31,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"28",8,NA,NA,22,14,9,33,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"29",11,NA,NA,18,4,4,36,15,13,25,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"30",7,NA,NA,20,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"31",13,NA,NA,10,4,4,28,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"32",7,NA,NA,15,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"33",11,NA,NA,18,9,4,31,16,9,24,14,16,20,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"34",8,NA,NA,19,4,4,30,12,13,35,22,17,32,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"35",7,NA,NA,20,4,4,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"36",12,NA,NA,15,4,4,35,11,11,31,19,19,24,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"37",7,NA,NA,15,4,4,32,14,10,31,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"38",8,NA,NA,22,14,9,33,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"39",11,NA,NA,18,4,4,36,15,13,25,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"40",7,NA,NA,20,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"41",13,NA,NA,10,4,4,28,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"42",7,NA,NA,15,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"43",11,NA,NA,18,9,4,31,16,9,24,14,16,20,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"44",8,NA,NA,19,4,4,30,12,13,35,22,17,32,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"45",7,NA,NA,20,4,4,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"46",12,NA,NA,15,4,4,35,11,11,31,19,19,24,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"47",7,NA,NA,15,4,4,32,14,10,31,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"48",8,NA,NA,22,14,9,33,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
